                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8786,                 2.1143,                 1.9283,                0.60559,                0.48766,                0.48336,                0.23849,                 1.8839,                 1.9088,                 1.9967,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.8761,                 2.0965,                 1.9232,                0.61401,                0.47156,                0.50264,                0.25565,                 1.8885,                 1.8677,                 2.0068,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.8535,                 2.0625,                 1.9109,                0.58599,                0.51133,                0.49212,                0.24166,                 1.8853,                  1.843,                 2.0102,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.8532,                 2.0442,                  1.901,                0.52297,                0.51251,                0.49682,                0.24419,                 1.8647,                 1.8198,                 1.9879,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.8496,                  2.017,                 1.8906,                0.63136,                0.51087,                0.52494,                0.28076,                 1.8664,                 1.7944,                 1.9837,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.8368,                 2.0022,                 1.8859,                0.62525,                0.49133,                 0.5197,                0.25071,                  1.876,                 1.8094,                 1.9845,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.8312,                 1.9944,                 1.8789,                0.68451,                0.49575,                0.54405,                0.27816,                 1.8476,                 1.7445,                 1.9637,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.8224,                 1.9795,                 1.8716,                0.63916,                0.51796,                0.53238,                0.27221,                 1.8404,                 1.7261,                 1.9521,               0.009604,               0.009604,               0.009604
                     42,                 1.8255,                 1.9549,                 1.8712,                0.65816,                0.51643,                  0.534,                0.26261,                 1.8475,                 1.7344,                 1.9738,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.8045,                 1.9357,                 1.8613,                0.72405,                 0.5233,                0.57313,                0.29735,                 1.8408,                 1.7057,                 1.9599,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.8034,                 1.9068,                  1.854,                0.67766,                0.55627,                  0.567,                0.29839,                 1.8412,                 1.6949,                 1.9511,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.7963,                 1.9114,                 1.8522,                0.72232,                0.52883,                0.56365,                 0.2936,                 1.8276,                  1.699,                 1.9426,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.7886,                 1.8831,                 1.8482,                0.68369,                0.58296,                0.57851,                0.29133,                 1.8305,                 1.7029,                 1.9545,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.7874,                 1.8721,                 1.8507,                0.74071,                0.54724,                0.58777,                 0.3091,                 1.8441,                 1.6867,                  1.962,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.7816,                 1.8641,                 1.8332,                0.68621,                0.54541,                0.58104,                 0.3014,                  1.827,                 1.6579,                 1.9471,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.7804,                 1.8384,                 1.8259,                0.65289,                 0.5604,                0.57821,                0.30218,                 1.8253,                 1.6743,                 1.9486,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.7608,                 1.8173,                 1.8228,                0.69979,                0.55695,                 0.5973,                0.30345,                 1.8206,                 1.6441,                 1.9369,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.7534,                  1.809,                 1.8154,                0.62535,                0.58522,                0.59619,                0.31646,                 1.8053,                 1.6381,                 1.9372,               0.009505,               0.009505,               0.009505
                     52,                 1.7571,                 1.8032,                 1.8134,                0.67984,                0.58359,                0.60116,                0.31376,                 1.8115,                 1.6296,                  1.933,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.7488,                 1.7842,                 1.8005,                0.66723,                 0.6104,                0.60924,                0.30614,                 1.8071,                  1.629,                 1.9239,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.7456,                 1.7663,                 1.8061,                0.70904,                0.58782,                 0.6096,                0.32249,                 1.8119,                 1.6088,                 1.9312,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.7363,                 1.7547,                 1.7874,                0.67868,                0.59371,                 0.5976,                0.31858,                 1.8033,                 1.6139,                 1.9198,              0.0094654,              0.0094654,              0.0094654
