                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0773,                  2.715,                 2.0715,                0.59101,                0.29971,                0.30885,                0.14329,                 2.0349,                 2.3666,                 2.1223,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.0609,                 2.6985,                 2.0627,                0.57406,                0.30134,                0.29227,                0.13845,                 2.0179,                 2.3587,                 2.1124,              0.0096634,              0.0096634,              0.0096634
                     36,                  2.066,                 2.6932,                 2.0807,                0.54293,                0.28918,                0.31622,                0.15133,                 1.9828,                 2.3312,                 2.0868,              0.0096535,              0.0096535,              0.0096535
                     37,                  2.064,                 2.6749,                 2.0669,                0.48005,                 0.3699,                 0.3135,                 0.1466,                 2.0131,                  2.358,                 2.0842,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.0549,                 2.6563,                 2.0623,                0.55804,                0.31118,                0.32809,                0.15743,                 1.9903,                 2.3325,                 2.0865,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.0478,                 2.6246,                   2.04,                0.38073,                0.42386,                0.31464,                0.14668,                 1.9812,                 2.3251,                  2.073,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.0452,                 2.6246,                 2.0595,                0.39907,                0.35409,                0.30334,                0.14508,                 1.9959,                 2.2731,                 2.0753,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.0423,                 2.5911,                 2.0367,                0.39858,                0.35952,                0.31778,                0.15602,                  1.963,                 2.2838,                 2.0449,               0.009604,               0.009604,               0.009604
                     42,                 2.0369,                  2.572,                 2.0236,                 0.4496,                0.33476,                0.33962,                0.16232,                 1.9496,                 2.2245,                 2.0294,              0.0095941,              0.0095941,              0.0095941
                     43,                 2.0299,                 2.5703,                 2.0269,                0.45059,                0.42442,                 0.3558,                0.18262,                 1.9544,                 2.1789,                 2.0362,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.0259,                 2.5537,                 2.0185,                0.47181,                0.36244,                0.35401,                0.17053,                 1.9335,                 2.2137,                 2.0266,              0.0095743,              0.0095743,              0.0095743
                     45,                 2.0281,                 2.5353,                 2.0107,                0.42451,                0.35664,                0.34515,                0.16611,                 1.9531,                  2.193,                 2.0338,              0.0095644,              0.0095644,              0.0095644
                     46,                 2.0216,                 2.5282,                 2.0082,                 0.4457,                0.35656,                0.35414,                0.17037,                 1.9534,                 2.1704,                 2.0336,              0.0095545,              0.0095545,              0.0095545
                     47,                 2.0085,                 2.4984,                 2.0034,                0.42038,                0.45658,                0.38718,                0.17645,                 1.9357,                 2.1793,                 2.0217,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.0215,                 2.5069,                 2.0067,                0.37585,                0.40259,                0.36351,                0.17248,                  1.951,                 2.1566,                 2.0193,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.9991,                 2.4787,                 1.9915,                0.46191,                0.39142,                 0.3751,                0.18585,                 1.9313,                 2.1589,                 2.0066,              0.0095248,              0.0095248,              0.0095248
                     50,                 2.0152,                 2.4859,                 1.9937,                0.42816,                0.42636,                 0.3756,                0.17994,                 1.9371,                 2.1286,                 2.0052,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.0017,                 2.4499,                 1.9761,                0.41693,                0.43825,                0.37309,                0.18054,                 1.9336,                 2.1235,                 2.0012,               0.009505,               0.009505,               0.009505
                     52,                 1.9874,                 2.4525,                 1.9824,                 0.4408,                0.40771,                0.37017,                0.18061,                 1.9271,                 2.1267,                 1.9961,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.9868,                 2.4345,                 1.9743,                0.47144,                0.40509,                 0.3847,                0.18762,                 1.9174,                 2.1351,                 1.9913,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.9849,                 2.4208,                 1.9746,                0.55929,                0.43593,                0.42572,                0.20453,                  1.911,                 2.0902,                 1.9781,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.9803,                 2.4287,                 1.9638,                0.49385,                0.37974,                0.40709,                0.18982,                 1.9211,                 2.0788,                 1.9831,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.9848,                  2.391,                 1.9554,                0.51608,                0.42384,                0.39997,                0.18889,                 1.8991,                 2.0849,                 1.9537,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.9742,                 2.3925,                 1.9622,                0.48346,                0.42604,                0.39994,                0.19602,                 1.8971,                 2.0489,                 1.9616,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.9771,                  2.386,                 1.9594,                0.50715,                0.46044,                0.41911,                0.20169,                 1.9067,                 2.0563,                 1.9654,              0.0094357,              0.0094357,              0.0094357
                     59,                  1.972,                 2.3699,                 1.9501,                0.46514,                0.44226,                0.41235,                0.19899,                  1.897,                 2.0367,                 1.9537,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.9728,                 2.3748,                  1.958,                0.49458,                   0.43,                0.43178,                0.21224,                 1.8905,                 2.0212,                  1.951,              0.0094159,              0.0094159,              0.0094159
                     61,                  1.966,                 2.3432,                 1.9393,                0.48966,                0.43685,                0.44127,                0.21408,                 1.8916,                 2.0015,                 1.9481,               0.009406,               0.009406,               0.009406
                     62,                 1.9625,                 2.3341,                 1.9366,                0.56491,                0.41952,                 0.4414,                0.21098,                 1.8961,                 1.9885,                 1.9494,              0.0093961,              0.0093961,              0.0093961
                     63,                  1.955,                 2.3131,                 1.9322,                0.54816,                0.44588,                0.44408,                0.21692,                 1.8873,                   1.98,                 1.9425,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.9548,                 2.3131,                 1.9312,                0.57354,                0.42905,                 0.4454,                0.21959,                 1.8946,                 1.9741,                  1.947,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.9644,                 2.3022,                 1.9303,                0.55163,                0.42795,                0.44211,                0.21645,                 1.8963,                 1.9828,                  1.942,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.9591,                 2.2839,                 1.9196,                0.53055,                0.48043,                0.44746,                0.21906,                 1.9004,                 1.9689,                  1.944,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.9497,                 2.2868,                 1.9218,                0.58886,                0.46639,                0.46458,                0.23069,                 1.9022,                 1.9542,                 1.9434,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.9506,                 2.2771,                 1.9172,                0.56893,                0.45183,                0.46833,                0.23543,                 1.8949,                 1.9516,                 1.9361,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.9422,                 2.2868,                 1.9129,                0.65374,                0.44622,                0.46901,                 0.2368,                 1.8884,                 1.9484,                 1.9378,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.9409,                 2.2659,                 1.9069,                0.61907,                0.42422,                0.47889,                0.24123,                 1.8914,                 1.9353,                 1.9388,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.9369,                 2.2431,                 1.9016,                0.57306,                0.44923,                0.48403,                0.24216,                 1.8903,                 1.9386,                 1.9371,               0.009307,               0.009307,               0.009307
                     72,                  1.938,                  2.236,                  1.903,                0.51683,                0.47173,                 0.4756,                0.23831,                 1.8942,                 1.9347,                 1.9458,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.9427,                 2.2245,                 1.8989,                0.54489,                 0.4741,                0.48695,                0.24111,                 1.8967,                 1.9224,                 1.9451,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.9286,                 2.2379,                 1.8994,                0.56506,                0.45475,                0.48726,                0.24151,                 1.8958,                 1.9134,                 1.9449,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.9342,                 2.2101,                 1.8937,                 0.5347,                0.46544,                0.48283,                0.24476,                   1.89,                  1.895,                 1.9387,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.9311,                 2.2168,                 1.8912,                0.62027,                0.47007,                 0.4955,                0.24421,                 1.8855,                 1.8949,                 1.9318,              0.0092575,              0.0092575,              0.0092575
