                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6917,                 4.9806,                 4.0091,                0.00078,                0.11005,                0.00108,                0.00034,                 3.3274,                 5.0453,                 3.6488,              0.0033319,              0.0033319,              0.0033319
                      2,                 2.9684,                 4.3631,                 3.2541,                0.47225,                0.06284,                0.05258,                0.02026,                 2.8993,                 4.6273,                  3.083,              0.0066587,              0.0066587,              0.0066587
                      3,                 2.6393,                 4.0207,                  2.837,                0.51323,                0.06233,                0.05737,                0.02492,                   2.74,                 4.0664,                 2.9121,              0.0099788,              0.0099788,              0.0099788
                      4,                  2.544,                 3.8478,                 2.6678,                0.50968,                0.10086,                0.06541,                0.02882,                 2.5551,                 3.7542,                 2.6962,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.4523,                 3.6877,                  2.547,                0.51235,                0.10895,                0.07972,                0.04032,                 2.4385,                 3.5576,                  2.597,              0.0099604,              0.0099604,              0.0099604
                      6,                  2.401,                  3.576,                 2.4812,                0.52197,                0.16905,                0.09661,                0.04454,                 2.3906,                 3.4245,                   2.51,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.3509,                 3.4828,                 2.4245,                0.51563,                0.14518,                0.08335,                0.03227,                 2.3618,                 3.3021,                 2.5029,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.3076,                 3.4148,                 2.3885,                0.68674,                0.12123,                0.12088,                0.06383,                 2.3515,                 3.2652,                 2.4644,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.2798,                 3.3571,                 2.3575,                0.59751,                0.14259,                0.13453,                0.06795,                 2.2473,                 3.1303,                 2.3554,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.2567,                 3.3052,                 2.3301,                0.33454,                0.19359,                0.10155,                0.04789,                 2.2515,                 3.0802,                 2.4231,              0.0099109,              0.0099109,              0.0099109
                     11,                 2.2319,                 3.2698,                 2.3201,                0.35373,                0.19397,                0.12243,                0.05786,                 2.1988,                  2.974,                 2.3489,               0.009901,               0.009901,               0.009901
                     12,                 2.2249,                 3.1986,                 2.2932,                0.38547,                0.18326,                0.15251,                0.06912,                 2.2052,                 2.9673,                 2.3481,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.2003,                 3.1615,                 2.2829,                0.38177,                 0.2159,                0.17218,                0.08038,                 2.1867,                 2.8837,                 2.3413,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.1739,                 3.0973,                 2.2675,                0.39637,                0.22124,                0.19852,                0.09298,                 2.1758,                 2.7891,                 2.3133,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.1571,                 3.0719,                 2.2454,                0.37745,                0.24546,                0.17027,                0.08124,                 2.1426,                 2.7737,                 2.3094,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.1309,                 3.0394,                 2.2279,                0.46585,                0.26994,                0.20792,                0.09942,                 2.1351,                 2.7152,                 2.2979,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.1301,                  2.973,                 2.2083,                0.45168,                0.23027,                0.22122,                0.10576,                 2.1071,                  2.635,                 2.2509,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.1223,                 2.9459,                 2.2097,                0.42409,                0.21928,                 0.2242,                0.09588,                 2.1099,                 2.6315,                 2.2527,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.1202,                 2.9046,                 2.1853,                0.44726,                0.29769,                0.21996,                0.09858,                 2.0748,                 2.6254,                 2.2043,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.0877,                 2.8613,                 2.1738,                 0.4288,                0.27979,                0.25361,                0.11464,                 2.0988,                 2.6062,                 2.2423,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.0923,                 2.8551,                 2.1702,                0.45939,                0.28842,                0.24143,                0.11145,                 2.0642,                 2.5428,                 2.2351,               0.009802,               0.009802,               0.009802
                     22,                 2.0787,                 2.8112,                 2.1513,                0.43982,                0.29028,                0.22926,                0.11093,                 2.0358,                 2.5504,                 2.1655,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.0682,                 2.7826,                 2.1473,                0.45707,                0.34186,                0.27249,                0.12793,                 2.0142,                  2.454,                 2.1623,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.0527,                 2.7332,                 2.1239,                0.51784,                0.32214,                0.27015,                0.12713,                 2.0304,                 2.4758,                 2.1735,              0.0097723,              0.0097723,              0.0097723
                     25,                  2.046,                 2.7234,                  2.126,                0.47549,                0.34838,                0.28169,                0.12298,                 2.0155,                  2.485,                 2.1544,              0.0097624,              0.0097624,              0.0097624
                     26,                 2.0435,                 2.6906,                 2.1159,                0.51636,                0.29531,                0.26845,                0.11048,                 2.0108,                 2.4836,                  2.138,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.0412,                 2.6575,                 2.1107,                0.52851,                0.34338,                0.32108,                0.14837,                 1.9936,                 2.3388,                 2.1264,              0.0097426,              0.0097426,              0.0097426
                     28,                 2.0236,                 2.6511,                 2.1037,                0.38992,                0.39098,                0.32468,                 0.1419,                 1.9993,                 2.3457,                 2.1567,              0.0097327,              0.0097327,              0.0097327
                     29,                 2.0151,                 2.6241,                 2.0855,                 0.3632,                0.40282,                0.32705,                0.14309,                 1.9835,                 2.3092,                 2.1207,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.0226,                 2.5975,                  2.085,                0.40341,                0.35546,                0.33352,                0.14783,                 1.9589,                 2.3133,                 2.1145,              0.0097129,              0.0097129,              0.0097129
                     31,                 2.0135,                 2.5823,                 2.0729,                0.42367,                0.39062,                0.30732,                0.14434,                 1.9538,                 2.2984,                 2.0946,               0.009703,               0.009703,               0.009703
                     32,                 2.0063,                 2.5724,                 2.0657,                0.42695,                0.44659,                0.35108,                0.16308,                 1.9557,                 2.2866,                  2.097,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.9916,                 2.5314,                 2.0522,                0.38261,                0.42799,                0.33034,                0.14335,                  1.983,                 2.3055,                 2.1144,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.9978,                 2.5224,                 2.0642,                 0.4447,                0.42873,                0.36082,                0.16296,                 1.9531,                 2.2776,                  2.089,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.9965,                 2.5214,                 2.0585,                0.50228,                0.40058,                0.38321,                0.17783,                 1.9352,                  2.213,                 2.0728,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.9762,                 2.4783,                 2.0464,                0.40328,                  0.452,                0.36757,                0.17224,                 1.9454,                 2.2263,                 2.0963,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.9708,                 2.4597,                 2.0358,                0.48112,                0.39383,                0.36757,                0.16711,                 1.9244,                 2.1693,                 2.0668,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.9716,                 2.4414,                  2.025,                0.54015,                0.43664,                0.38478,                0.18713,                 1.9337,                 2.1608,                 2.0692,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.9677,                 2.4351,                  2.022,                0.55006,                0.43111,                 0.4064,                0.20066,                 1.8986,                 2.1673,                 2.0359,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.9618,                 2.4212,                 2.0229,                0.59076,                0.40015,                0.42886,                0.20962,                 1.9177,                 2.1141,                 2.0461,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.9554,                 2.4082,                 2.0135,                0.49122,                0.40798,                 0.4005,                0.19405,                 1.9171,                 2.1406,                 2.0479,               0.009604,               0.009604,               0.009604
